,Year,Country,Teen_fertility,ATMs,Compulsory_Ed,GDP_pc,Immunization_measles,Internet_use,Maternal_mort_ratio,Region,Continent,log_ATMs,log_MMR,log_GDP,log_internet
56,2010,Finland,8.1462,36.8311579628557,9.0,46202.4151628454,98.0,86.89,3.0,Northern Europe,Europe,3.6063441707136255,1.0986122886681098,10.74078735195554,4.464642950851115
57,2010,France,9.6746,106.006595676883,10.0,40638.33400426,89.0,77.28,9.0,Western Europe,Europe,4.663501315543095,2.1972245773362196,10.612467087422422,4.347435189904263
58,2010,Gabon,116.2276,8.80596870494199,10.0,8754.11337590957,62.0,13.0,322.0,Middle Africa,Africa,2.1754297534937233,5.7745515455444085,9.077278968993175,2.5649493574615367
59,2010,"Gambia, The",97.973,5.660692150818664,9.0,562.483781687741,92.0,9.2,753.0,Western Africa,Africa,1.7335461728690138,6.6240652277998935,6.332362301107782,2.2192034840549946
60,2010,Georgia,51.2912,46.6039384680717,9.0,2964.47704071102,94.0,26.9,40.0,Western Asia,Asia,3.8416850540425087,3.6888794541139363,7.994455918374986,3.292126286607793
61,2010,Germany,8.7462,116.682127352941,13.0,41785.556912554,97.0,82.0,7.0,Western Europe,Europe,4.759453377203394,1.9459101490553132,10.640306030396355,4.406719247264253
62,2010,Ghana,72.5644,3.92957393290799,11.0,1312.60755731025,93.0,7.8,325.0,Western Africa,Africa,1.3685310059856222,5.783825182329737,7.1797709395350475,2.0541237336955462
63,2010,Greece,9.7886,78.4804247810411,9.0,26917.7589787254,99.0,44.4,3.0,Southern Europe,Europe,4.36284922784492,1.0986122886681098,10.200541532846353,3.7932394694381792
64,2010,Grenada,38.178,51.3976198948326,12.0,7365.64153786657,95.0,27.0,27.0,Caribbean,North America,3.9395918658409808,3.295836866004329,8.904581431398727,3.295836866004329
65,2010,Guatemala,82.7946,23.9882601815397,10.0,2825.51902943213,93.0,10.5,109.0,Central America,North America,3.17756455156809,4.6913478822291435,7.946447353937373,2.3513752571634776
66,2010,Guinea,149.6754,0.688428323055809,6.0,634.923105379227,58.0,1.0,720.0,Western Africa,Africa,-0.37334407217936505,6.579251212010101,6.453503897669253,0.0
67,2010,Guinea-Bissau,107.5136,1.44892161222622,9.0,545.704120821919,76.0,2.45,570.0,Western Africa,Africa,0.37081956403270605,6.345636360828596,6.30207692560571,0.8960880245566357
68,2010,Guyana,91.091,14.7229108388478,6.0,3044.94808313969,95.0,29.9,241.0,South America,South America,2.6894048409556635,5.484796933490655,8.021239130126624,3.3978584803966405
69,2010,Haiti,43.3346,39.12637923026041,6.0,662.279518162433,64.0,8.37,389.0,Caribbean,North America,3.666796900130624,5.963579343618446,6.495687699695559,2.124653884501384
70,2010,Honduras,83.6298,16.2688844204542,9.0,1932.85828999689,97.0,11.09,155.0,Central America,North America,2.7892543522209077,5.043425116919247,7.56675516560367,2.4060438013622756
71,2010,Hungary,20.0066,56.6949396108468,13.0,13092.2337567695,99.0,65.0,15.0,Eastern Europe,Europe,4.037684958264876,2.70805020110221,9.479774490393655,4.174387269895637
72,2010,Iceland,11.336,81.382587004781,10.0,41851.7354772988,93.0,93.39,4.0,Northern Europe,Europe,4.399161331264407,1.3862943611198906,10.641888544049415,4.536784273121627
73,2010,India,36.0522,7.26843048829514,8.0,1345.77015320886,82.0,7.5,215.0,Southern Asia,Asia,1.9835403794203577,5.3706380281276624,7.204721732776723,2.0149030205422647
74,2010,Indonesia,50.887,13.0283433222717,9.0,3113.48063451434,78.0,10.92,165.0,South-Eastern Asia,Asia,2.5671272397127325,5.10594547390058,8.043496554448724,2.390595970316759
75,2010,"Iran, Islamic Rep.",29.5988,30.0184841536289,8.0,6531.9274296787,99.0,15.9,27.0,Southern Asia,Asia,3.4018133303810862,3.295836866004329,8.784457344059058,2.766319109226186
76,2010,Iraq,78.451,2.14626093749904,6.0,4502.74904825726,75.0,2.5,51.0,Western Asia,Asia,0.763727229313961,3.9318256327243257,8.412443388847928,0.9162907318741551
77,2010,Ireland,13.72,90.2947417146001,10.0,48671.8882936068,90.0,69.85,7.0,Northern Europe,Europe,4.503079227438397,1.9459101490553132,10.792856899971055,4.246350085702971
78,2010,Israel,12.541,73.3714116006115,13.0,30642.9406174863,96.0,67.5,6.0,Western Asia,Asia,4.2955343720203345,1.791759469228055,10.330157592404957,4.212127597878484
79,2010,Italy,6.591,99.9348503460287,12.0,35849.3731979401,91.0,53.68,4.0,Southern Europe,Europe,4.604518477132287,1.3862943611198906,10.487081361856513,3.9830404926634264
80,2010,Jamaica,66.0636,24.9278525748334,6.0,4685.58831981582,89.0,27.67,93.0,Caribbean,North America,3.215985755631753,4.532599493153256,8.452246761989432,3.3203487937988347
81,2010,Japan,4.733,130.927588361099,9.0,44507.6763859172,94.0,78.21,6.0,Eastern Asia,Asia,4.874644409770391,1.791759469228055,10.70341695633171,4.35939751661352
82,2010,Jordan,27.5454,24.7312056098066,10.0,3679.19027463278,98.0,27.2,59.0,Western Asia,Asia,3.208065831247044,4.07753744390572,8.21044797288475,3.3032169733019514
83,2010,Kazakhstan,30.4734,61.3386713145762,9.0,9070.48825285747,99.0,31.6,20.0,Central Asia,Asia,4.116410497456657,2.995732273553991,9.112781373287376,3.4531571205928664
84,2010,Kenya,91.038,8.90922382893131,8.0,967.350454885973,86.0,7.2,605.0,Eastern Africa,Africa,2.1870871253348283,6.405228458030842,6.874560844363671,1.9740810260220096
85,2010,Kiribati,23.5756,9.17697802113764,9.233532934131736,1520.87533850854,89.0,9.07,109.0,Micronesia,Oceania,2.216697958839744,4.6913478822291435,7.327041328682448,2.2049722641270453
86,2010,"Korea, Dem. People’s Rep.",0.4432,109.87298938405998,11.0,13323.732752664695,99.0,0.0,97.0,Eastern Asia,Asia,4.699325056716726,4.574710978503383,9.497302141521953,-inf
87,2010,"Korea, Rep.",1.8592,265.375420845451,9.0,22086.9529193201,98.0,83.7,15.0,Eastern Asia,Asia,5.581145505874074,2.70805020110221,10.002742347529807,4.4272389774954295
88,2010,Kuwait,11.9468,50.038962629756,9.0,38497.6169579293,98.0,61.4,5.0,Western Asia,Asia,3.9128019545636,1.6094379124341003,10.558351621163524,4.117409835153096
89,2010,Kyrgyz Republic,36.8604,7.33155052263646,9.0,880.037775119109,99.0,16.3,84.0,Central Asia,Asia,1.9921870245844726,4.430816798843313,6.779964832822661,2.791165107812717
90,2010,Lao PDR,67.8436,8.69433240091225,5.0,1141.12711507419,64.0,7.0,294.0,South-Eastern Asia,Asia,2.1626713652049725,5.683579767338681,7.039771750382653,1.9459101490553132
91,2010,Latvia,16.437,75.526184595879,11.0,11326.2194746243,95.0,68.42,19.0,Northern Europe,Europe,4.324479411967724,2.9444389791664403,9.334875624432698,4.225665179549459
92,2010,Lebanon,13.149,38.8415602881469,9.0,8858.28397217732,79.0,43.68,19.0,Western Asia,Asia,3.65949081481364,2.9444389791664403,9.089108342241733,3.7768903314366495
93,2010,Lesotho,91.7458,7.187803235449,7.0,1157.34109192083,88.0,3.86,587.0,Southern Africa,Africa,1.972385594513387,6.375024819828097,7.053880490938304,1.3506671834767394
94,2010,Liberia,137.1728,1.47538520966565,6.0,506.063004590787,65.0,2.3,811.0,Western Africa,Africa,0.3889191147910387,6.698268054115413,6.226661176537672,0.8329091229351039
95,2010,Libya,6.03,3.46511097527473,9.0,12120.5621692062,98.0,14.0,9.0,Northern Africa,Africa,1.2427446596253118,2.1972245773362196,9.402658642145491,2.6390573296152584
96,2010,Lithuania,16.1048,59.5086138076973,9.0,11984.8685698823,96.0,62.12,9.0,Northern Europe,Europe,4.086121071950703,2.1972245773362196,9.391400180590775,4.129067998280486
97,2010,Luxembourg,7.6928,105.627187085826,12.0,104965.306078267,96.0,90.62,11.0,Western Europe,Europe,4.659915791600967,2.3978952727983707,11.561385156237286,4.506674939238992
98,2010,Madagascar,125.7288,1.39796028386463,5.0,412.730934137725,66.0,1.7,436.0,Eastern Africa,Africa,0.33501423415529974,6.077642243349034,6.022795889456479,0.5306282510621704
99,2010,Malawi,148.2142,2.91754335984293,8.0,458.865430122972,93.0,2.26,629.0,Eastern Africa,Africa,1.0707419470537158,6.444131256700441,6.128756986514749,0.8153648132841944
100,2010,Malaysia,12.9878,53.7013852538859,6.0,9071.35698672103,95.0,56.3,48.0,South-Eastern Asia,Asia,3.9834387973438523,3.871201010907891,9.112877144566731,4.030694535145645
101,2010,Maldives,11.2758,16.5641529644312,9.233532934131736,7100.40589910181,97.0,26.53,87.0,Southern Asia,Asia,2.8072409003926246,4.465908118654584,8.867907230282906,3.2782761681496484
102,2010,Mali,181.5306,2.71503177976268,9.0,708.370763247419,78.0,2.0,630.0,Western Africa,Africa,0.998803658570682,6.4457198193855785,6.562967633525957,0.6931471805599453
103,2010,Malta,17.8444,52.320466184626,11.0,21087.7946931036,73.0,63.0,11.0,Southern Europe,Europe,3.9573876173658604,2.3978952727983707,9.956449701533275,4.143134726391533
104,2010,Mauritania,87.108,5.660692150818664,9.0,1201.75629071117,67.0,4.0,723.0,Western Africa,Africa,1.7335461728690138,6.583409222158765,7.091539341385849,1.3862943611198906
105,2010,Mauritius,30.9766,40.8810868841259,11.0,8000.37643182154,99.0,28.33,59.0,Eastern Africa,Africa,3.7106675327270917,4.07753744390572,8.987243873532663,3.3439213138424253
106,2010,Mexico,67.7,44.111033185815,11.0,9016.45792714789,95.0,31.05,45.0,Central America,North America,3.786709936780985,3.8066624897703196,9.106806844929807,3.435598808379488
107,2010,"Micronesia, Fed. Sts.",21.304,9.17697802113764,9.233532934131736,2861.77134805435,80.0,20.0,115.0,Micronesia,Oceania,2.216697958839744,4.74493212836325,7.959196064560873,2.995732273553991
108,2010,Moldova,26.2568,25.7588375936316,9.0,1631.53583179532,97.0,32.3,34.0,Eastern Europe,Europe,3.2487777757471905,3.5263605246161616,7.397277078277843,3.475067230228611
109,2010,Mongolia,23.5792,18.5213689663613,12.0,2650.35364830438,97.0,10.2,63.0,Eastern Asia,Asia,2.9189251447562614,4.143134726391533,7.882448362266649,2.322387720290225
110,2010,Montenegro,15.4848,64.1720543323778,9.0,6682.28115774575,90.0,37.5,8.0,Southern Europe,Europe,4.161567825156454,2.0794415416798357,8.807214698916521,3.624340932976365
111,2010,Morocco,33.7464,19.6124866078433,9.0,2834.20471989688,98.0,52.0,153.0,Northern Africa,Africa,2.9761664352211,5.030437921392435,7.949516654725944,3.9512437185814275
112,2010,Mozambique,161.6834,5.57671571310788,9.233532934131736,419.225814942685,82.0,4.17,619.0,Eastern Africa,Africa,1.7186000212305992,6.428105272684596,6.038409712558018,1.4279160358107101
